"State","County","Model Year","Make","Model","TTL_VEHICLES"
WA,San Juan,2016,FIAT,"500",4
WA,San Juan,2016,AUDI,A3,3
WA,San Juan,2016,FORD,C-MAX,1
WA,San Juan,2016,VOLKSWAGEN,E-GOLF,5
WA,San Juan,2016,FORD,FOCUS,1
WA,San Juan,2016,SMART,FORTWO,1
WA,San Juan,2016,FORD,FUSION,1
WA,San Juan,2016,BMW,I3,4
WA,San Juan,2016,NISSAN,LEAF,17
WA,San Juan,2016,TESLA,MODEL S,3
WA,San Juan,2016,TESLA,MODEL X,2
WA,San Juan,2016,KIA,SOUL,5
WA,San Juan,2016,CHEVROLET,SPARK,1
WA,San Juan,2016,CHEVROLET,VOLT,1
WA,San Juan,2016,BMW,X5,2
WA,San Juan,2016,VOLVO,XC90,2
WA,San Juan,2017,BMW,"330E",1
WA,San Juan,2017,FIAT,"500",3
WA,San Juan,2017,AUDI,A3,2
WA,San Juan,2017,CHEVROLET,BOLT EV,14
WA,San Juan,2017,PORSCHE,CAYENNE,1
WA,San Juan,2017,VOLKSWAGEN,E-GOLF,2
WA,San Juan,2017,SMART,FORTWO,3
WA,San Juan,2017,BMW,I3,4
WA,San Juan,2017,HYUNDAI,IONIQ,1
WA,San Juan,2017,NISSAN,LEAF,8
WA,San Juan,2017,TESLA,MODEL 3,1
WA,San Juan,2017,TESLA,MODEL S,5
WA,San Juan,2017,TESLA,MODEL X,2
WA,San Juan,2017,TOYOTA,PRIUS PRIME,7
WA,San Juan,2017,KIA,SOUL,3
WA,San Juan,2017,CHEVROLET,VOLT,10
WA,San Juan,2018,FIAT,"500",1
WA,San Juan,2018,CHEVROLET,BOLT EV,6
WA,San Juan,2018,HONDA,CLARITY,3
WA,San Juan,2018,BMW,I3,3
WA,San Juan,2018,HYUNDAI,IONIQ,1
WA,San Juan,2018,NISSAN,LEAF,7
WA,San Juan,2018,TESLA,MODEL 3,11
WA,San Juan,2018,TESLA,MODEL S,5
WA,San Juan,2018,TESLA,MODEL X,3
WA,San Juan,2018,KIA,NIRO,2
WA,San Juan,2018,MITSUBISHI,OUTLANDER,1
WA,San Juan,2018,CHRYSLER,PACIFICA,2
WA,San Juan,2018,TOYOTA,PRIUS PRIME,4
WA,San Juan,2018,KIA,SOUL,1
WA,San Juan,2018,CHEVROLET,VOLT,1
WA,San Juan,2018,VOLVO,XC60,1
WA,San Juan,2018,VOLVO,XC90,3
WA,San Juan,2019,CHEVROLET,BOLT EV,13
WA,San Juan,2019,PORSCHE,CAYENNE,1
WA,San Juan,2019,HONDA,CLARITY,1
WA,San Juan,2019,MINI,COUNTRYMAN,2
WA,San Juan,2019,SUBARU,CROSSTREK,1
WA,San Juan,2019,VOLKSWAGEN,E-GOLF,5
WA,San Juan,2019,AUDI,E-TRON,3
WA,San Juan,2019,FORD,FUSION,1
WA,San Juan,2019,MERCEDES-BENZ,GLC-CLASS,1
WA,San Juan,2019,BMW,I3,1
WA,San Juan,2019,HYUNDAI,IONIQ,1
WA,San Juan,2019,HYUNDAI,KONA,2
WA,San Juan,2019,NISSAN,LEAF,10
WA,San Juan,2019,TESLA,MODEL 3,9
WA,San Juan,2019,TESLA,MODEL S,1
WA,San Juan,2019,TESLA,MODEL X,3
WA,San Juan,2019,KIA,NIRO,3
WA,San Juan,2019,MITSUBISHI,OUTLANDER,2
WA,San Juan,2019,CHEVROLET,VOLT,2
WA,San Juan,2019,VOLVO,XC90,1
WA,San Juan,2020,CHEVROLET,BOLT EV,17
WA,San Juan,2020,PORSCHE,CAYENNE,2
WA,San Juan,2020,HONDA,CLARITY,1
WA,San Juan,2020,NISSAN,LEAF,4
WA,San Juan,2020,TESLA,MODEL 3,8
WA,San Juan,2020,TESLA,MODEL S,3
WA,San Juan,2020,TESLA,MODEL X,1
WA,San Juan,2020,TESLA,MODEL Y,12
WA,San Juan,2020,KIA,NIRO,2
WA,San Juan,2020,CHRYSLER,PACIFICA,1
WA,San Juan,2020,TOYOTA,PRIUS PRIME,3
WA,San Juan,2020,PORSCHE,TAYCAN,2
WA,San Juan,2020,VOLVO,XC60,2
WA,San Juan,2021,CHEVROLET,BOLT EV,8
WA,San Juan,2021,MINI,HARDTOP,1
WA,San Juan,2021,VOLKSWAGEN,ID.4,5
WA,San Juan,2021,HYUNDAI,IONIQ,1
WA,San Juan,2021,HYUNDAI,KONA,2
WA,San Juan,2021,NISSAN,LEAF,4
WA,San Juan,2021,TESLA,MODEL 3,5
WA,San Juan,2021,TESLA,MODEL S,1
WA,San Juan,2021,TESLA,MODEL Y,11
